2020-01-06	M
2020-01-08	W
2020-01-10	F
2020-01-13	M
2020-01-15	W
2020-01-17	F
2020-01-20	M
2020-01-22	W
2020-01-24	F
2020-01-27	M
2020-01-29	W
2020-01-31	F
2020-02-03	M
2020-02-05	W
2020-02-07	F
2020-02-10	M
2020-02-12	W
2020-02-14	F
2020-02-17	M
2020-02-19	W
2020-02-21	F
2020-02-24	M
2020-02-26	W
2020-02-28	F
2020-03-02	M
2020-03-04	W
2020-03-06	F
2020-03-09	M
2020-03-11	W
2020-03-13	F
2020-03-16	M
2020-03-18	W
2020-03-20	F
2020-03-23	M
2020-03-25	W
2020-03-27	F
2020-03-30	M
2020-04-01	W
2020-04-03	F
2020-04-06	M
2020-04-08	W
2020-04-10	F
2020-04-13	M
2020-04-15	W
2020-04-17	F
